id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
19312082,Beuglow Soap 75GM,"Beuglow Soap 75GM by Kube Pharmaceuticals Pvt. Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75G.",in stock,new,159.30 INR,https://www.indianskinstore.com/product/beuglow-soap-75gm,https://indianskinco.github.io/iss-catalog-images/p/19312082.jpg,Kube Pharmaceuticals Pvt. Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
25779452,Bio Retinol,"Bio Retinol by Fixderma Llc.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 200ML.",in stock,new,1250.00 INR,https://www.indianskinstore.com/product/bio-retinol,https://indianskinco.github.io/iss-catalog-images/p/25779452.jpg,Fixderma Llc.,Health & Beauty > Personal Care > Cosmetics > Skin Care,
20606236,Biowhite Hk Lotion 100ml,"Biowhite Hk Lotion 100ml by Asthetix Cosmeceuticals. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.",in stock,new,490.00 INR,https://www.indianskinstore.com/product/biowhite-hk-lotion-100ml,https://indianskinco.github.io/iss-catalog-images/p/20606236.jpg,Asthetix Cosmeceuticals,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28619165,Calminox Anti Itch,"Calminox Anti Itch by Percos. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100M.",in stock,new,465.00 INR,https://www.indianskinstore.com/product/calminox-anti-itch,https://indianskinco.github.io/iss-catalog-images/p/28619165.jpg,Percos,Health & Beauty > Personal Care > Cosmetics > Skin Care,
19308694,Cica -care 1 S,"Cica -care 1 S by Smith&Nephew. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,3153.33 INR,https://www.indianskinstore.com/product/cica--care-1-s,https://indianskinco.github.io/iss-catalog-images/p/19308694.jpg,Smith&Nephew,Health & Beauty > Personal Care > Cosmetics > Skin Care,
27352893,Claricika Anti-scar Cream,"Claricika Anti-scar Cream by Temple Wellness Ventures Pvt Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 30GM.",in stock,new,1750.00 INR,https://www.indianskinstore.com/product/claricika-anti-scar-cream,https://indianskinco.github.io/iss-catalog-images/p/27352893.jpg,Temple Wellness Ventures Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28757406,Clotipar Dusting Powder,"Clotipar Dusting Powder by Skinthetics. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.",in stock,new,111.00 INR,https://www.indianskinstore.com/product/clotipar-dusting-powder,https://indianskinco.github.io/iss-catalog-images/p/28757406.jpg,Skinthetics,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28606998,Cohans Soap,"Cohans Soap by Vnw Pharmaceuticals Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75 GM.",in stock,new,125.00 INR,https://www.indianskinstore.com/product/cohans-soap,https://indianskinco.github.io/iss-catalog-images/p/28606998.jpg,Vnw Pharmaceuticals Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
29087280,Cosmelite Next,"Cosmelite Next by Eris Oaknet. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50 ML.",in stock,new,868.50 INR,https://www.indianskinstore.com/product/cosmelite-next,https://indianskinco.github.io/iss-catalog-images/p/29087280.jpg,Eris Oaknet,Health & Beauty > Personal Care > Cosmetics > Skin Care,
29041993,Cuti Eraise,"Cuti Eraise by Eraise Glad. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100GM.",in stock,new,186.00 INR,https://www.indianskinstore.com/product/cuti-eraise,https://indianskinco.github.io/iss-catalog-images/p/29041993.jpg,Eraise Glad,Health & Beauty > Personal Care > Cosmetics > Skin Care,
